,Job_Title,Industry,State,N_Employees,Python,Java,Spark_Hadoop,Excel,Matlab,Tableau,Avg_Salary
823,data scientist,Health Care, NY,5001 to 10000 Employees,1,0,0,0,0,0,84.0
824,data scientist,Biotech & Pharmaceuticals, NC,10000+ Employees,1,1,1,0,0,0,88.5
825,data scientist,Information Technology, CA,1001 to 5000 Employees,1,0,0,1,0,0,126.5
826,data scientist,Business Services, VA,201 to 500 Employees,1,1,1,1,0,0,83.5
827,data scientist,Manufacturing, TX,10000+ Employees,1,1,1,1,0,0,83.0
828,data scientist,Information Technology, IL,10000+ Employees,1,0,1,0,0,1,91.5
829,data scientist,Retail, CA,10000+ Employees,1,0,1,0,0,0,99.0
830,data scientist,Aerospace & Defense, OH,501 to 1000 Employees,1,0,0,0,0,1,90.0
831,data scientist,Business Services, NY,5001 to 10000 Employees,1,0,1,0,0,0,113.0
832,data scientist,Telecommunications, IN,1 to 50 Employees,1,0,0,0,0,0,84.5
833,data scientist,Finance, NY,1001 to 5000 Employees,1,0,1,0,1,0,156.0
834,data scientist,Business Services, CO,51 to 200 Employees,1,0,0,1,0,0,86.0
835,data scientist,Manufacturing, CA,501 to 1000 Employees,1,0,0,0,0,0,123.0
836,data scientist,Information Technology, DC,51 to 200 Employees,0,0,0,0,0,0,120.5
837,data scientist,Information Technology, VA,501 to 1000 Employees,1,0,0,0,0,1,131.0
838,data scientist,Biotech & Pharmaceuticals, CT,51 to 200 Employees,0,0,0,1,0,0,82.0
839,data scientist,Manufacturing, UT,1001 to 5000 Employees,1,0,1,1,1,1,123.0
840,data scientist,Information Technology, GA,1001 to 5000 Employees,1,0,0,0,0,1,84.5
841,data scientist,Finance, TX,1 to 50 Employees,1,0,0,1,0,0,109.5
842,data scientist,Education, UT,10000+ Employees,1,0,0,0,0,0,66.5
843,data scientist,Education, NY,1 to 50 Employees,1,0,0,1,0,0,79.5
844,data scientist,Information Technology, IL,10000+ Employees,1,0,0,0,0,0,126.0
845,data scientist,Information Technology, DC,51 to 200 Employees,1,0,1,1,1,0,115.5
846,data scientist,Information Technology, NC,10000+ Employees,1,0,1,0,0,1,115.0
847,data scientist,Real Estate, CA,1001 to 5000 Employees,1,0,1,1,0,0,80.5
848,data scientist,Business Services, CA,51 to 200 Employees,1,0,0,1,0,1,89.5
849,data scientist,Information Technology, AL,10000+ Employees,1,0,0,1,0,0,105.5
850,data scientist,Information Technology, MA,10000+ Employees,1,1,1,0,0,0,117.0
851,data scientist,Business Services, VA,51 to 200 Employees,1,0,0,1,0,1,87.5
852,data scientist,Business Services, VA,51 to 200 Employees,1,0,0,1,0,1,87.5
853,data scientist,Finance, NY,10000+ Employees,1,0,0,0,0,1,94.0
854,data scientist,Business Services, NY,201 to 500 Employees,1,0,0,0,0,1,100.0
855,data scientist,Information Technology, TX,10000+ Employees,1,1,1,0,0,0,122.0
856,data scientist,Aerospace & Defense, MD,5001 to 10000 Employees,1,1,0,1,1,0,130.0
857,data scientist,Business Services, OH,51 to 200 Employees,1,0,0,0,0,0,63.5
858,data scientist,Business Services, CA,10000+ Employees,1,0,0,1,0,1,101.0
859,data scientist,Information Technology, TX,1 to 50 Employees,0,0,1,0,0,0,81.5
860,data scientist,Finance, NJ,501 to 1000 Employees,1,1,0,0,0,0,131.5
861,data scientist,Information Technology, RI,1 to 50 Employees,1,0,0,0,0,1,81.0
862,data scientist,Finance, CA,51 to 200 Employees,1,0,0,0,0,0,126.5
863,data scientist,Business Services, DC,1 to 50 Employees,1,0,1,0,0,0,80.0
864,data scientist,Manufacturing, CA,1001 to 5000 Employees,1,0,0,1,0,0,115.0
865,data scientist,Health Care, WA,5001 to 10000 Employees,1,0,0,1,1,1,160.0
866,data scientist,Manufacturing, MD,10000+ Employees,1,0,0,0,0,0,95.0
867,data scientist,Business Services, PA,51 to 200 Employees,1,0,0,1,0,0,67.0
869,data analyst,"Oil, Gas, Energy & Utilities", WI,201 to 500 Employees,1,0,0,1,0,0,79.5
870,data scientist,Information Technology, NY,501 to 1000 Employees,1,0,0,1,0,0,118.0
871,data scientist,Information Technology, NC,10000+ Employees,1,1,0,0,0,1,90.5
872,data scientist,Health Care, CA,10000+ Employees,1,0,0,1,0,1,127.5
873,data scientist,Biotech & Pharmaceuticals, PA,10000+ Employees,1,0,0,1,0,1,88.5
874,data scientist,Finance, PA,10000+ Employees,1,0,1,0,0,0,88.0
875,data scientist,Biotech & Pharmaceutica, CA,51 to 200 Employees,1,1,0,1,0,0,126.5
876,data scientist,Business Services, TX,10000+ Employees,1,0,0,1,0,1,93.0
877,data scientist,Biotech & Pharmaceuticals, NY,5001 to 10000 Employees,0,0,0,0,0,0,99.0
878,data scientist,Telecommunications, IL,10000+ Employees,0,0,0,1,0,0,95.5
879,data scientist,Information Technology, TX,1 to 50 Employees,1,1,1,0,0,1,83.5
880,data scientist,Information Technology, FL,51 to 200 Employees,1,0,1,0,1,0,92.5
881,data scientist,Insurance, IL,10000+ Employees,1,0,0,1,0,0,97.0
882,data scientist,Business Services, NY,201 to 500 Employees,1,0,1,0,1,0,112.5
883,data scientist,Health Care, TX,201 to 500 Employees,1,0,0,0,0,0,82.0
884,data scientist,Aerospace & Defense, VA,1001 to 5000 Employees,1,1,1,1,0,0,89.5
885,data engineer,Finance, CA,1001 to 5000 Employees,1,1,0,1,0,0,112.0
886,data scientist,Biotech & Pharmaceuticals, CT,51 to 200 Employees,0,0,0,1,0,0,82.0
887,data scientist,Finance, NJ,501 to 1000 Employees,1,1,0,0,0,0,131.5
888,mach. learn. engineer,Finance, TX,1001 to 5000 Employees,1,1,1,0,0,1,77.5
889,data scientist,Health Care, PA,1 to 50 Employees,1,0,0,1,0,0,88.5
890,data scientist,Business Services, CO,501 to 1000 Employees,1,1,1,1,0,0,86.5
891,data scientist,Biotech & Pharmaceuticals, CA,10000+ Employees,1,0,1,1,0,0,165.5
892,data scientist,Business Services, DC,1 to 50 Employees,1,0,1,0,0,0,80.0
893,data scientist,Real Estate, CA,1001 to 5000 Employees,1,0,1,1,0,0,80.5
894,data scientist,Aerospace & Defense, MD,5001 to 10000 Employees,1,1,0,1,1,0,130.0
895,data scientist,Biotech & Pharmaceuticals, NC,51 to 200 Employees,0,0,0,1,0,0,47.0
896,data scientist,Information Technology, RI,1 to 50 Employees,1,0,0,0,0,1,81.0
897,data scientist,Business Services, VA,51 to 200 Employees,1,1,0,0,0,0,80.0
898,data scientist,Information Technology, MD,51 to 200 Employees,0,0,0,0,0,0,125.5
899,data scientist,Information Technology, DC,51 to 200 Employees,1,0,0,0,0,1,79.0
900,data scientist,Insurance, IL,1001 to 5000 Employees,1,0,1,0,0,0,82.0
901,data scientist,Information Technology, IL,51 to 200 Employees,1,0,1,1,0,1,107.5
902,data scientist,Information Technology, NE,1001 to 5000 Employees,0,0,0,1,0,0,87.0
903,data scientist,Information Technology, FL,501 to 1000 Employees,1,1,0,1,0,0,72.0
904,data scientist,Media, DC,5001 to 10000 Employees,1,0,0,0,0,1,110.0
905,data scientist,Education, NY,51 to 200 Employees,1,1,0,0,0,1,91.5
906,data scientist,Business Services, VA,51 to 200 Employees,1,0,0,0,0,1,72.5
907,data scientist,Media, NY,10000+ Employees,1,1,0,1,1,0,175.5
908,data engineer,Health Care, MO,1001 to 5000 Employees,0,0,0,1,0,1,110.5
909,data scientist,Information Technology, TX,10000+ Employees,1,0,1,0,0,0,84.0
910,data scientist,Finance, FL,1001 to 5000 Employees,0,0,0,0,0,0,99.5
911,data scientist,Biotech & Pharmaceuticals, MA,1001 to 5000 Employees,1,0,0,1,0,0,114.5
